iter	Passed	Remaining
0	158	158340
1	159	79441
2	159	53149
3	160	39977
4	161	32091
5	161	26825
6	162	23054
7	163	20224
8	163	18038
9	164	16284
10	165	14843
11	165	13641
12	166	12625
13	166	11754
14	167	11002
15	168	10343
16	169	9772
17	169	9260
18	170	8797
19	171	8382
20	171	8008
21	172	7662
22	173	7352
23	173	7067
24	174	6806
25	175	6561
26	175	6338
27	176	6126
28	177	5927
29	177	5744
30	178	5575
31	179	5415
32	179	5266
33	180	5123
34	180	4989
35	181	4866
36	182	4746
37	183	4634
38	183	4527
39	184	4427
40	185	4329
41	185	4237
42	186	4149
43	187	4063
44	187	3983
45	188	3907
46	189	3834
47	189	3765
48	190	3697
49	191	3631
50	191	3566
51	192	3506
52	193	3449
53	193	3395
54	194	3339
55	195	3288
56	195	3237
57	196	3188
58	196	3141
59	197	3094
60	198	3049
61	198	3005
62	199	2962
63	199	2921
64	200	2883
65	201	2845
66	201	2808
67	202	2769
68	202	2734
69	203	2701
70	203	2668
71	204	2636
72	205	2605
73	205	2575
74	206	2546
75	207	2518
76	207	2490
77	208	2463
78	209	2437
79	209	2411
80	210	2386
81	210	2361
82	211	2337
83	212	2314
84	212	2289
85	213	2268
86	213	2243
87	214	2222
88	215	2202
89	215	2181
90	216	2161
91	217	2144
92	218	2126
93	218	2108
94	219	2090
95	220	2073
96	220	2056
97	221	2039
98	222	2023
99	222	2006
100	223	1988
101	223	1971
102	224	1956
103	225	1941
104	226	1927
105	226	1912
106	227	1897
107	228	1883
108	228	1870
109	229	1855
110	230	1843
111	231	1831
112	231	1818
113	232	1806
114	233	1793
115	233	1780
116	234	1767
117	234	1755
118	235	1741
119	236	1731
120	236	1719
121	237	1708
122	237	1694
123	238	1683
124	238	1672
125	239	1661
126	240	1651
127	240	1639
128	241	1629
129	242	1619
130	242	1609
131	243	1601
132	244	1591
133	244	1581
134	245	1573
135	246	1564
136	246	1554
137	247	1544
138	247	1535
139	248	1527
140	249	1518
141	249	1509
142	250	1501
143	251	1492
144	251	1483
145	252	1475
146	252	1467
147	253	1459
148	254	1451
149	254	1443
150	255	1435
151	255	1428
152	256	1420
153	257	1412
154	257	1405
155	258	1397
156	259	1390
157	259	1383
158	260	1376
159	260	1369
160	261	1362
161	262	1355
162	262	1348
163	263	1342
164	263	1335
165	264	1329
166	265	1322
167	265	1315
168	266	1309
169	266	1303
170	267	1297
171	268	1290
172	268	1284
173	269	1278
174	269	1272
175	270	1267
176	271	1260
177	271	1255
178	272	1249
179	273	1244
180	273	1237
181	274	1232
182	274	1227
183	275	1221
184	276	1216
185	276	1211
186	277	1205
187	277	1200
188	278	1195
189	279	1190
190	279	1185
191	280	1180
192	281	1175
193	281	1170
194	282	1164
195	282	1160
196	283	1155
197	284	1150
198	284	1145
199	285	1140
200	285	1136
201	286	1131
202	287	1127
203	287	1122
204	288	1118
205	288	1113
206	289	1109
207	290	1104
208	290	1100
209	291	1096
210	292	1092
211	292	1087
212	293	1083
213	294	1079
214	294	1075
215	295	1071
216	295	1067
217	296	1063
218	297	1059
219	297	1055
220	298	1051
221	298	1047
222	299	1043
223	300	1039
224	300	1036
225	301	1032
226	301	1028
227	302	1024
228	303	1020
229	303	1017
230	304	1013
231	305	1009
232	305	1006
233	306	1002
234	306	999
235	307	995
236	308	991
237	308	988
238	309	985
239	310	981
240	310	978
241	311	974
242	311	971
243	312	967
244	312	964
245	313	961
246	314	957
247	314	954
248	315	951
249	316	948
250	316	944
